"time" "S" "E" "I_symp" "I_asymp" "R" "Cumulative" "Incidence_reported" "Incidence_non_reported" "Datum"
91 2122434.35391583 73462.3179166746 1225.58510690229 95276.1243941982 82151.6186663977 252115.646084174 182.935575988582 14221.4404861045 2020-03-31
92 2107808.67953079 73661.3304910199 1283.31472596659 99764.134451114 92032.5408011108 266741.320469213 183.431156320775 14259.9669791733 2020-04-01
93 2093300.43429195 73718.6667353807 1335.84087475906 103847.616357273 102347.44174064 281249.565708054 183.573934811634 14271.0666015375 2020-04-02
94 2078884.59444916 73682.2371998353 1383.38308357619 107543.637341527 113056.147925902 295665.405550841 183.48321812508 14264.0142720387 2020-04-03
95 2064539.24600055 73588.5800808809 1426.2396312085 110875.386466546 124120.547820812 310010.753999448 183.249993534743 14245.8833556576 2020-04-04
96 2050246.35709233 73464.2002956422 1464.75452902933 113869.607974918 135505.080108079 324303.64290767 182.940263481305 14221.804892527 2020-04-05
97 2035991.96428222 73327.1864432708 1499.29145058835 116554.574579093 147176.983244832 338558.035717785 182.599072123439 14195.2806226355 2020-04-06
98 2021765.97827683 73188.8948610138 1530.2138606528 118958.542696654 159106.37030485 352784.021723171 182.254698967623 14168.5089992704 2020-04-07
99 2007561.78932107 73055.5075068131 1557.87100990813 121108.663682243 171266.168479961 366988.210678926 181.92253830128 14142.6867767601 2020-04-08
100 1993375.77912827 72929.3940251344 1582.58877866531 123030.272021435 183631.966046497 381174.220871733 181.608491003766 14118.2726903951 2020-04-09
101 1979206.82113478 72810.2511222162 1604.66414798881 124746.455520366 196181.80807465 395343.178865222 181.311801814146 14095.2080260714 2020-04-10
102 1965055.80903582 72696.0003197157 1624.36284855174 126277.872531864 208895.955264048 409494.19096418 181.027294913802 14073.0904148344 2020-04-11
103 1950925.23282068 72583.4880903316 1641.91901148143 127642.724816223 221756.635261283 423624.76717932 180.747117401414 14051.3093708989 2020-04-12
104 1936818.81736844 72469.0065869072 1657.53624629357 128856.841343671 234747.798454686 437731.182631559 180.462036010534 14029.1470986772 2020-04-13
105 1922741.22145548 72348.663761978 1671.38972191079 129933.840076425 247854.884984201 451808.778544515 180.162358779828 14005.8501435688 2020-04-14
106 1908697.78971883 72218.6420412989 1683.62875267878 130885.329009031 261064.610478164 465852.210281174 179.838579200882 13980.6794681126 2020-04-15
107 1894694.35558817 72075.3611492589 1694.37967345251 131721.129680748 274364.773908373 479855.644411833 179.481781685409 13952.9419730712 2020-04-16
108 1880737.08196595 71915.5816988881 1703.74870047103 132449.49958289 287744.088051796 493812.918034046 179.083899524682 13922.0105512377 2020-04-17
109 1866832.33650839 71736.4567581368 1711.82473397832 133077.350037261 301192.03196223 507717.663491607 178.637843299674 13887.3340700605 2020-04-18
110 1852986.59467172 71535.54997706 1718.68194755556 133610.44749326 314698.7259104 521563.405328277 178.137546021306 13848.4408808532 2020-04-19
111 1839206.36063224 71310.8325295346 1724.38221395224 134053.602114265 328254.822510004 535343.639367756 177.577955514723 13804.938226747 2020-04-20
112 1825498.10880377 71060.6655087175 1728.97716461586 134410.827887402 341851.420635497 549051.891196233 176.954990580532 13756.5088346582 2020-04-21
113 1811868.23867382 70783.7716642561 1732.51003310373 134685.485932161 355479.993696655 562681.761326177 176.265470614912 13702.9054439451 2020-04-22
114 1798323.03501901 70479.2046030128 1735.01735394669 134880.416571744 369132.326452287 576226.964980992 175.507038913385 13643.9448440303 2020-04-23
115 1784868.63911821 70146.3171196978 1736.53030991287 134998.044070775 382800.469381404 589681.36088179 174.678083807875 13579.5017435838 2020-04-24
116 1771511.02566577 69784.7289639586 1737.0759075478 135040.468023079 396476.701439641 603038.974334227 173.777658400446 13509.502530611 2020-04-25
117 1758255.98427356 69394.2958429666 1736.67797353391 135009.54080984 410153.5011001 616294.015726442 172.805403373662 13433.9192717178 2020-04-26
118 1745109.10445007 68975.0810709705 1735.35798042416 134906.931793174 423823.52470536 629440.89554993 171.761476392417 13352.7642237979 2020-04-27
119 1732075.76637054 68527.3275969983 1733.13574326413 134734.181472549 437479.588816649 642474.233629461 170.646482447427 13266.0844189248 2020-04-28
120 1719161.11618383 68051.4445014875 1730.02991719985 134492.740169191 451114.66922829 655388.883816169 169.461440229194 13173.9590502585 2020-04-29
121 1706370.08257581 67547.9681823511 1726.05857695229 134184.013075982 464721.8775889 668179.917424186 168.207685473698 13076.4919581246 2020-04-30
122 1693707.35607067 67017.555638389 1721.23947845123 133809.380597005 478294.468215483 680842.643929329 166.886854236773 12973.8103297611 2020-05-01
123 1681177.38483102 66460.9666944903 1715.59036631532 133370.222251742 491825.835856429 693372.615168978 165.500838631378 12866.0612583275 2020-05-02
124 1668784.38424368 65879.0451659024 1709.12917320905 132867.932173812 505309.509243393 705765.615756317 164.051739922933 12753.4080965285 2020-05-03
125 1656532.31395607 65272.7115417566 1701.87423150028 132303.935565328 518739.164705345 718017.68604393 162.541850309864 12636.0290402306 2020-05-04
126 1644424.86960948 64642.9525737226 1693.84441233861 131679.699509219 532108.633895235 730125.130390516 160.973626997309 12514.1151129483 2020-05-05
127 1632465.5130801 63990.7997773359 1685.0591848692 130996.737573478 545411.890384222 742084.486919905 159.349638661209 12387.8660039537 2020-05-06
128 1620657.45995974 63317.3271304536 1675.53865220127 130256.612607387 558643.061650218 753892.54004026 157.672559717012 12257.4896227249 2020-05-07
129 1609003.6626092 62623.6457063084 1665.3036178597 129460.941907578 571796.446159053 765546.337390799 155.945156954925 12123.2010599683 2020-05-08
130 1597506.84093517 61910.8900755052 1654.37554008372 128611.393665841 584866.499783403 777043.159064833 154.170255678219 11985.2199552052 2020-05-09
131 1586169.46793278 61180.2148949098 1642.77655592894 127709.688842852 597847.851773526 788380.532067217 152.350731208893 11843.7698364205 2020-05-10
132 1574993.77782742 60432.7878766511 1630.52944185322 126757.598104398 610735.306749675 799556.222172578 150.489491379112 11699.0767589446 2020-05-11
